,0
0,리스개량자산(IFRS)
1,유형탐사평가자산(IFRS)
2,임대주택용지(IFRS)
3,미완성임대주택(IFRS)
4,임대주택토지(IFRS)
5,완성임대주택(IFRS)
6,임대주택(IFRS)
7,기타임대주택자산(IFRS)
8,제호와 출판표제(IFRS)
9,조리법
10,*특수관계자장기매출채권(IFRS)
11,장기분양미수금(IFRS)
12,*특수관계자 장기미수금(IFRS)
13,장기임대미수금(IFRS)
14,장기임대주택채권(IFRS)
15,(추정공사손실)(IFRS)
16,배당건설이자(IFRS)
17,파생상품평가이익(IFRS)
18,파생상품평가손실(IFRS)
19,퇴직급여적립금(IFRS)
20,(대체)(IFRS)
21,미분양주택관리비(IFRS)
22,투자자산처분이익(IFRS)
23,유형
24,무형자산처분이익(IFRS)
25,법인세환급액(IFRS)
26,재고자산감모손실(IFRS)
27,지분법적용투자주식손상차손(IFRS)
28,기부금(IFRS)
29,투자자산처분손실(IFRS)
30,법인세추납액(IFRS)
31,전기오류수정손실(IFRS)
